tailNode	headNode	capacity	length	fft	UE_travelTime	UE_flow
547	1	49500.0	0.86267	0.05	0.05000019298746851	3525.5117010309364
548	2	49500.0	0.86267	0.05	0.05000076767025872	4978.901814432994
549	3	49500.0	0.86267	0.05	0.05000466675146301	7817.961927835074
550	4	49500.0	0.86267	0.05	0.05000503566391177	7968.087000000007
551	5	49500.0	0.86267	0.05	0.050069197437574146	15341.30789690723
552	6	49500.0	0.86267	0.05	0.05000280149699349	6881.568278350538
553	7	49500.0	0.86267	0.05	0.05000658715242443	8521.465917525768
554	8	49500.0	0.86267	0.05	0.05000379474518105	7423.958536082492
555	9	49500.0	0.86267	0.05	0.05000227605911738	6533.347639175267
556	10	49500.0	0.86267	0.05	0.05001536657000982	10531.35173195877
557	11	49500.0	0.86267	0.05	0.05000576382461161	8241.71461855669
558	12	49500.0	0.86267	0.05	0.05000216999597077	6455.867597938148
559	13	49500.0	0.86267	0.05	0.05001448709871788	10377.32069072168
560	14	49500.0	0.86267	0.05	0.05003176947909374	12628.227773195875
561	15	49500.0	0.86267	0.05	0.05001096646500017	9679.580752577325
562	16	49500.0	0.86267	0.05	0.05031213113563426	22357.5471958763
563	17	49500.0	0.86267	0.05	0.050304175154151844	22213.695649484493
564	18	49500.0	0.86267	0.05	0.05012492115713309	17782.748350515467
565	19	49500.0	0.86267	0.05	0.050000830159622034	5077.270298969088
566	20	49500.0	0.86267	0.05	0.05000319785586891	7113.0294123711465
567	21	49500.0	0.86267	0.05	0.05000075238925949	4953.937577319599
568	22	49500.0	0.86267	0.05	0.05000067871440048	4827.937608247435
569	23	49500.0	0.86267	0.05	0.050069633190174434	15365.403030927855
570	24	49500.0	0.86267	0.05	0.05000278999750727	6874.495577319599
571	25	49500.0	0.86267	0.05	0.05000248122928091	6675.850577319599
572	26	49500.0	0.86267	0.05	0.05003064172551504	12514.635000000031
573	27	49500.0	0.86267	0.05	0.05000197529601437	6305.912350515467
574	28	49500.0	0.86267	0.05	0.05001451009532637	10381.436443298982
575	29	49500.0	0.86267	0.05	0.05003736180466781	13150.638649484546
576	30	49500.0	0.86267	0.05	0.050000497207023355	4466.57053608247
577	31	49500.0	0.86267	0.05	0.05000050335143951	4480.306360824747
578	32	49500.0	0.86267	0.05	0.05000079610181211	5024.374886597937
579	33	49500.0	0.86267	0.05	0.05000015834933677	3355.3972577319655
580	34	49500.0	0.86267	0.05	0.05000072745296302	4912.370474226817
581	35	49500.0	0.86267	0.05	0.050000328134263056	4025.805402061859
582	36	49500.0	0.86267	0.05	0.050001642397258954	6021.565793814451
583	37	49500.0	0.86267	0.05	0.05000322749202899	7129.452463917534
584	38	49500.0	0.86267	0.05	0.05000004304946978	2422.8796082474237
585	39	49500.0	0.86267	0.05	0.050000532268129574	4543.311340206188
586	40	49500.0	0.86267	0.05	0.050000001497494576	1046.3601649484506
587	41	49500.0	0.86267	0.05	0.05001965371451609	11199.562144329895
588	42	49500.0	0.86267	0.05	0.050000004142148904	1349.4174123711323
589	43	49500.0	0.86267	0.05	0.05000218258146719	6465.2079587629005
590	44	49500.0	0.86267	0.05	0.050002882858845014	6930.997268041263
591	45	49500.0	0.86267	0.05	0.050001018577878364	5343.655391752578
592	46	49500.0	0.86267	0.05	0.05000242277728755	6636.181515463924
593	47	49500.0	0.86267	0.05	0.05000081035347226	5046.711835051555
594	48	49500.0	0.86267	0.05	0.050002735857660144	6840.900247422678
595	49	49500.0	0.86267	0.05	0.05000024275534229	3733.636917525774
596	50	49500.0	0.86267	0.05	0.05000101651531607	5340.948185567026
597	51	49500.0	0.86267	0.05	0.050000000947157335	933.1370103092767
598	52	49500.0	0.86267	0.05	0.05000005598623092	2587.3798453608233
599	53	49500.0	0.86267	0.05	0.050000228917554526	3679.253041237119
600	54	49500.0	0.86267	0.05	0.05000000024906884	668.220402061854
601	55	49500.0	0.86267	0.05	0.05000000266538773	1208.5927422680413
602	56	49500.0	0.86267	0.05	0.05000003021165093	2217.6014536082453
603	57	49500.0	0.86267	0.05	0.050000005302962405	1435.3886907216474
604	58	49500.0	0.86267	0.05	0.050012103027866045	9921.181422680385
605	59	49500.0	0.86267	0.05	0.05000024159609237	3729.1715257731976
606	60	49500.0	0.86267	0.05	0.05000019125438953	3517.5698969072228
607	61	49500.0	0.86267	0.05	0.050000149603733	3308.0760927835026
608	62	49500.0	0.86267	0.05	0.050000205494609075	3581.2941340206216
